Ime objekta,Podrijetlo imena
Špilja pod Sedlenim lukom,smišljeno prema toponimu
Jama na cesti,smišljeno novo
Šujama,smišljeno novo
Ame meni,smišljeno novo
Vrelić,preuzeto kao lokalni naziv
Skandališta,preuzeto kao lokalni naziv
Dajićeva pećina,preuzeto iz literature
Kremenje,preuzeto kao lokalni naziv
Velika pećina,preuzeto kao lokalni naziv
Užas je moja furka,smišljeno novo
Pećina poli Kalić,smišljeno prema toponimu
Pećina Boršt,smišljeno prema toponimu
Brdo,preuzeto kao lokalni naziv
Jama podno Crnog vrha,smišljeno prema toponimu
Špilja na Grivinom Brijegu,preuzeto kao lokalni naziv
Zmajevo gnijezdo,smišljeno novo
Kikačova jama,smišljeno novo
Kuka A4,smišljeno novo
Jujnovića špilja,smišljeno prema toponimu
Velika peć,preuzeto sa karte
Špilja utjehe,smišljeno novo
Jama poli Krušvića,smišljeno prema toponimu
Znetva u Bubanjkinoj dragi,preuzeto kao lokalni naziv
Ribarka,preuzeto iz literature
Let na drugi svijet,smišljeno novo
Oblok,preuzeto kao lokalni naziv
Antoninina jama,smišljeno novo
A kome se to da,smišljeno novo
Jama s torbom,smišljeno novo
Golubinja pećina,preuzeto kao lokalni naziv
Mala špilja u Krugu,smišljeno novo
Jama Za breg,smišljeno prema toponimu
Ozaljska špilja,preuzeto kao lokalni naziv
Jama u Šepinom vrtu,smišljeno prema toponimu
Veliko ništa,smišljeno novo
Balvanija,smišljeno novo
Duliba,smišljeno prema toponimu
Spitača,smišljeno novo
Radetina velika špilja,smišljeno prema toponimu
Mala bezdanica,preuzeto kao lokalni naziv
Medinica,preuzeto kao lokalni naziv
Kaverna na Vratima Jadrana,smišljeno prema toponimu
G28,smišljeno novo
Tučepska peć,smišljeno novo
Villa Crocs,smišljeno novo
Bogaševina,preuzeto kao lokalni naziv
Poklončić,smišljeno prema toponimu
Lozovača,preuzeto sa karte
Lisina velika,smišljeno prema toponimu
Špilja pod Obodinom,smišljeno prema toponimu
Meandar,smišljeno novo
Zvonica,preuzeto kao lokalni naziv
Ševerova špilja,preuzeto kao lokalni naziv
Vilina kamara,preuzeto kao lokalni naziv
Jama pod Viševicom,smišljeno prema toponimu
Tri točkice I,smišljeno novo
Tepih centar,smišljeno novo
Stražnica,preuzeto kao lokalni naziv
Jama iznad Luške špilje,smišljeno prema toponimu
Butiga,preuzeto kao lokalni naziv
Špilja iza lokve,smišljeno novo
Pećina kod Sarova,smišljeno prema toponimu
Trasirana jama,smišljeno novo
Jama za šaku kuna,smišljeno novo
Lisičja špilja,smišljeno novo
Dvojama na Zobinovcu,smišljeno prema toponimu
Vaso's nest,smišljeno novo
Neka škuljica,smišljeno novo
Jama u Martićima,smišljeno prema toponimu
Špilja 2. na Brdskoj gori,smišljeno prema toponimu
Špilja pod Prevajom,smišljeno prema toponimu
Jankova špilja,smišljeno prema toponimu
Lijepa jama,smišljeno novo
Križnjak,smišljeno novo
Sbardella,smišljeno novo
Moruzgvača u uvali Južni Vavošćak,smišljeno prema toponimu
Balića špilja,preuzeto kao lokalni naziv
Jurova pećina poli Rupe,preuzeto kao lokalni naziv
Ideš Đurđa,smišljeno novo
Lovačka jama,smišljeno novo
Halloween,smišljeno novo
Solo,smišljeno novo
Treća sreća,smišljeno novo
Pećina u Brajkovoj stijeni,smišljeno prema toponimu
Spilja ispod manastira Dragović,smišljeno prema toponimu
Partizanska špilja,preuzeto kao lokalni naziv
Črjenčeva pećina,preuzeto kao lokalni naziv
Jama na Pejce,smišljeno prema toponimu
Jama u vali Drebišnjak,smišljeno prema toponimu
Dvogača,smišljeno novo
Bocina jama,preuzeto kao lokalni naziv
Guduća III,smišljeno prema toponimu
Hamčica,smišljeno prema toponimu
Čampari,smišljeno prema toponimu
Špilja kod željezničke postaje Vrpolje,smišljeno prema toponimu
Jama ispod Vošca,smišljeno prema toponimu
Mlohava ćuna,smišljeno novo
Dumenčića špilja,preuzeto kao lokalni naziv
5 minuta,smišljeno novo
Špilja za četvero,smišljeno novo
Jama u Dubokoj Dolini,smišljeno prema toponimu
Golubljenica,preuzeto kao lokalni naziv
Pećina Ive Marina,preuzeto iz literature
Pećina nad Polje,smišljeno prema toponimu
Komarkovka,smišljeno novo
Špilja iznad vodovoda,smišljeno novo
Sv. Lucija,smišljeno novo
Špilja Gurtna,smišljeno novo
Trojamica,smišljeno novo
Špilj u Svinjaricama,smišljeno prema toponimu
Polušpilja ispod pruge,preuzeto iz literature
Prevara,smišljeno novo
Jama Konačno,smišljeno novo
Slavenka,smišljeno novo
Žmuj vina,smišljeno novo
Dvi ćikare,smišljeno novo
El Merlo,smišljeno novo
Rapa,smišljeno prema toponimu
Jama 9 mjeseci out,smišljeno novo
Špilja u Ježeviću,smišljeno novo
Kotrljajuća jama,smišljeno novo
Nestrpljiva i gladna,smišljeno novo
Špejarka 3,smišljeno prema toponimu
Jastrebica,preuzeto kao lokalni naziv
Dvogrla nad Rastovcem,smišljeno prema toponimu
Vilina pećina,preuzeto kao lokalni naziv
Korolina,smišljeno prema toponimu
Osmulja,smišljeno novo
Jama-ponor na Suvopolju,smišljeno prema toponimu
Golubinka u Bobodolu,smišljeno prema toponimu
Golubinka u uvali Južni Vavošćak,smišljeno prema toponimu
Pik u jaja,smišljeno novo
Sovinjak,nepoznato podrijetlo
Plitvički poskok,smišljeno novo
Šuplja pećina,preuzeto kao lokalni naziv
Jama kod Ševčevih dvora,smišljeno prema toponimu
Probavne tegobe opremača,smišljeno novo
Vrela,preuzeto kao lokalni naziv
Spilja na izvoru,preuzeto kao lokalni naziv
Ribareva pećina,preuzeto sa karte
Tri mušketira,smišljeno novo
Pećina Meandar,nepoznato podrijetlo
Pećina na Velikom Majoru,smišljeno prema toponimu
Rodica,smišljeno novo
Jama kod Popove vode,smišljeno prema toponimu
Culetinka,preuzeto kao lokalni naziv
Minuša 101,smišljeno novo
BS-4,smišljeno novo
Surlica,smišljeno novo
Špilja na Čavića kosi,smišljeno prema toponimu
Pred oluju,smišljeno novo
Rabatinka,preuzeto kao lokalni naziv
Bušbulj,smišljeno novo
Edijeva jama,nepoznato podrijetlo
Ober krila,smišljeno novo
Jama na Promini,smišljeno prema toponimu
Golubinka na Stancijeti,preuzeto kao lokalni naziv
K od Kalinovače,smišljeno prema toponimu
Kumova jama,smišljeno novo
Tonik,smišljeno novo
Sirovička špilja,preuzeto sa karte
Matatinova pećina,preuzeto kao lokalni naziv
Sanjina jama,smišljeno novo
Zemljo otvori se,smišljeno novo
Pećina u Grizili,smišljeno prema toponimu
Jama na Zaluki,smišljeno prema toponimu
Planinarski ražnjić,smišljeno novo
Vojnička osmica,smišljeno novo
Crvena špilja,preuzeto sa karte
Atila,smišljeno novo
Fontana,preuzeto kao lokalni naziv
"Jama kod Lukine jame br. 15, Mercedes",smišljeno novo
Prototip jama,smišljeno novo
Košnica,smišljeno novo
Špilja konjskih glava,smišljeno novo
Pećina pod Skokom,preuzeto kao lokalni naziv
Jama Babuljarka,smišljeno novo
Blizanci,smišljeno novo
Jama pod Blatačkim brigom,smišljeno prema toponimu
Mačkovac,preuzeto kao lokalni naziv
Glista,smišljeno novo
Mrtvo more,preuzeto sa karte
Motorola đot,smišljeno novo
Okrugla špilja,smišljeno novo
Vilinske jame,preuzeto kao lokalni naziv
Grbina peć,preuzeto kao lokalni naziv
Vranjača Runovići,preuzeto kao lokalni naziv
Šelobin brlog,smišljeno novo
SUE 5!,smišljeno novo
Pećina na pločine,smišljeno prema toponimu
Pećina na Brgudcima,smišljeno prema toponimu
Čajkuša,smišljeno novo
Čelijanka,smišljeno novo
Velika kraj BG11,smišljeno novo
Bunar jama kod Grujića staje,smišljeno prema toponimu
Bandin ponor,smišljeno prema toponimu
Poljanak,preuzeto iz literature
Noćni klub,smišljeno novo
Durova jama,preuzeto kao lokalni naziv
Kosmačev,smišljeno prema toponimu
Bezdanica na Ponorskom brdu,smišljeno prema toponimu
Ponor u Smokovljanima,smišljeno prema toponimu
Peć pod slapom,smišljeno novo
Rastik,smišljeno prema toponimu
Vučak,smišljeno prema toponimu
Špilja u Bukevju,smišljeno prema toponimu
Jama u vrtači,preuzeto iz literature
Pećina pod Gradišće 1,smišljeno prema toponimu
Piskovica,preuzeto kao lokalni naziv
Jama pokraj staze,smišljeno novo
Pećina na Finidi,nepoznato podrijetlo
Pećina pod Križišće,smišljeno prema toponimu
Golubnjača,preuzeto kao lokalni naziv
Početnička špilja u Praprotnoj dragi,smišljeno prema toponimu
Špilja kod Jurina žljeba,smišljeno prema toponimu
Tobogan,smišljeno novo
Gajina pećina,preuzeto kao lokalni naziv
Špilja pod Orlovićima,smišljeno prema toponimu
Babina jama,preuzeto kao lokalni naziv
Matešićeva pećina 2,preuzeto kao lokalni naziv
Tri sobe,smišljeno novo
Spilja kod starog mlina na Kamenici,smišljeno prema toponimu
Špilja AAA,smišljeno novo
Dančeva jama,preuzeto kao lokalni naziv
Davìd,smišljeno novo
Kimchi,smišljeno novo
Polupećina Scalla-Poropat,smišljeno prema toponimu
Usovište,nepoznato podrijetlo
Špilja na Marišćini,smišljeno prema toponimu
Špilja na granici,smišljeno novo
Rujnica,smišljeno novo
Tovaruša,smišljeno novo
Pećina u Stupici,smišljeno prema toponimu
Špilja Maljević,smišljeno prema toponimu
Kobiljak 2,smišljeno prema toponimu
Jama kod križanja,smišljeno novo
Gospodska špilja,preuzeto sa karte
Mačja pećica,preuzeto kao lokalni naziv
Lavina,smišljeno novo
Crnkinja,smišljeno prema toponimu
Mala jama nad Bakovcem,smišljeno prema toponimu
Rakićka,preuzeto kao lokalni naziv
Druga nespojena,smišljeno novo
Jama Pećica,smišljeno prema toponimu
Špilja živa perspektiva,smišljeno novo
Hippy garden,smišljeno novo
Mačji kašalj,smišljeno novo
Kaverna na cesti Mladenići - Saršoni 1,smišljeno prema toponimu
Špilja kod bare Vojnikuše,smišljeno prema toponimu
Trišića jama,preuzeto kao lokalni naziv
Pećina navrh Mlinarske drage,smišljeno prema toponimu
Školjkača,preuzeto kao lokalni naziv
Bezdana kod Mogorića,smišljeno prema toponimu
Špilja Stražbenica,preuzeto sa karte
Jama Jazina,preuzeto kao lokalni naziv
Pećina na Montižanskom brdu,smišljeno prema toponimu
Karbonara,smišljeno novo
Kranceti K1,preuzeto kao lokalni naziv
Mohorova jama,preuzeto kao lokalni naziv
Vilinska,preuzeto kao lokalni naziv
Tabaina špilja,preuzeto iz literature
TA špilja,smišljeno novo
Crikvena 05-1010,smišljeno novo
Estrusna vučica,smišljeno novo
Golubinka kod Rudela,smišljeno prema toponimu
Pukotina u Ljeskovoj strani,smišljeno prema toponimu
Janjeva,smišljeno novo
Jama put Pakova sela,preuzeto iz literature
Špilja u Krugu III,smišljeno prema toponimu
Jama 13 A,smišljeno novo
Zingarela 2,preuzeto kao lokalni naziv
Kuterevčeva špilja,preuzeto kao lokalni naziv
Ruža,smišljeno novo
Košenica,smišljeno prema toponimu
Jama na Jasenovom brdu,smišljeno prema toponimu
Poskokova špilja,smišljeno novo
Zapoljska špilja,smišljeno prema toponimu
Jama na budalu,smišljeno novo
Ponor pod Kremenom,smišljeno prema toponimu
Jamurina,preuzeto sa karte
Mala jamica,smišljeno novo
Vilina komorica,preuzeto kao lokalni naziv
Digova jama,preuzeto kao lokalni naziv
Jandrijaševa pećina,nepoznato podrijetlo
Gornja špilja pod Drniškom gradinom,smišljeno prema toponimu
Jama u Štajbenovcu,smišljeno prema toponimu
MT Zlo,smišljeno novo
Jama Hahlić,smišljeno prema toponimu
Ključanica,smišljeno novo
Grgeča pećina,preuzeto kao lokalni naziv
Dvocjevka,smišljeno novo
Jarebika,smišljeno novo
Fulinovica,preuzeto kao lokalni naziv
Petrović za tri,smišljeno novo
Milord,smišljeno novo
Jama u Debelom bregu,smišljeno prema toponimu
Tri patrole,smišljeno novo
Jama Broj Pet,smišljeno novo
Pećina kod Marinića kuća,preuzeto iz literature
Možda Condoma,smišljeno novo
Jama pored pojate,smišljeno novo
Zakičnica IV,smišljeno prema toponimu
Mariščica,preuzeto kao lokalni naziv
Golubinjak u Grebaštici,preuzeto kao lokalni naziv
Bili kuk 1,smišljeno prema toponimu
Ledeni štrumf,smišljeno novo
JMB2,smišljeno prema toponimu
Škrta dama,smišljeno novo
Jezerana,smišljeno novo
Kaverna Škurinje 23042022,smišljeno prema toponimu
Šalinovića jama,smišljeno prema toponimu
Hero,smišljeno novo
Gumena jama,smišljeno novo
Jama pod Manduševcem,smišljeno prema toponimu
Mau-Mau,smišljeno novo
Jama u Budišinu,preuzeto kao lokalni naziv
Pajina jazavčarka 2,preuzeto kao lokalni naziv
Kotarčeva jama,preuzeto kao lokalni naziv
Martinka pećina,preuzeto kao lokalni naziv
Sedrena 1 kod slapa Skakavac,smišljeno prema toponimu
Bebičica,smišljeno novo
Rokerica,smišljeno novo
Pećina pod Pelen,smišljeno prema toponimu
Putarica,smišljeno novo
G7,smišljeno novo
Jama kraj Mikulića izvora,smišljeno prema toponimu
Jama Lazinina,nepoznato podrijetlo
Kiša kamenja,smišljeno novo
Jama u kamenolomu kod Lakovići,smišljeno prema toponimu
Bezimenka,smišljeno novo
Spilja na rubu ničega,smišljeno novo
Piričevica,preuzeto sa karte
Jama z drvimi,smišljeno novo
Brezdna jama,preuzeto sa karte
Jama na Velikom Drveniku,smišljeno prema toponimu
Stonjska peć donja,preuzeto kao lokalni naziv
Spiderman,smišljeno novo
Čačić dolac 8,smišljeno prema toponimu
Trangrle,preuzeto kao lokalni naziv
Rubinićeva spilja 1,smišljeno novo
Zekina jama,smišljeno novo
Čokolino,smišljeno novo
Brkljačeva pećina 2,smišljeno prema toponimu
Špilja pod Bukovom gorom 3,smišljeno prema toponimu
Zečja jama 1,smišljeno novo
Selska 181,smišljeno novo
Jubilarna jama,smišljeno novo
Upad – jamica u Velim Sapcima,smišljeno novo
Jelenska jama,preuzeto sa karte
Špilja iz 1990-te,smišljeno novo
Vilina špilja Matići,preuzeto kao lokalni naziv
Brgudac VIII,smišljeno prema toponimu
Zelenje,smišljeno novo
Špilja od zgor Koromašne,smišljeno prema toponimu
Jama pod Debelom glavom,preuzeto kao lokalni naziv
Tužni fiks,smišljeno novo
Jama na Fromenščini,smišljeno prema toponimu
Šnajderova luknja,preuzeto kao lokalni naziv
Pravi speleolog,smišljeno novo
Gelender,smišljeno novo
Brana 3,smišljeno prema toponimu
Raskidana pećina,smišljeno novo
Jama na Stazi,smišljeno prema toponimu
Vuco 3,smišljeno novo
Mala Rokinka,smišljeno novo
Ponor na Ovčiju,smišljeno prema toponimu
Svinjarača,preuzeto kao lokalni naziv
Jama kod Lukine jame br. 8,smišljeno novo
Jama Lovranski lazići 3,smišljeno prema toponimu
Pećina na Jančariji,smišljeno prema toponimu
Jama uz cestu,smišljeno novo
Terijerova jama,smišljeno novo
Prava špilja,smišljeno novo
Jujnovića špilja 2,smišljeno novo
Korčinka,preuzeto kao lokalni naziv
Špilja u Debeloj glavi,smišljeno prema toponimu
Eko špilja,smišljeno novo
Jama ispod Šarića pećina,smišljeno prema toponimu
Duple jame,smišljeno prema toponimu
Jama u Gvozdenome,preuzeto kao lokalni naziv
Kružni tok,smišljeno novo
Jama pod Gradanom,preuzeto kao lokalni naziv
Pincinova jama,smišljeno novo
Bezdan,preuzeto kao lokalni naziv
Badanj 2,smišljeno prema toponimu
Tamnica,preuzeto sa karte
Samostalna,smišljeno novo
Jamana,smišljeno novo
Minjera,preuzeto kao lokalni naziv
Jama V,smišljeno novo
Drive by,smišljeno novo
Ona druga Kuzmina,smišljeno novo
Šešir,smišljeno novo
Špilja u rasjednoj liniji kod ponora Pregon,preuzeto sa karte
Mala jama na Klani,smišljeno novo
Šantanjika,smišljeno novo
Maloselska jama,smišljeno prema toponimu
Pećina kod Zvonika 1,smišljeno prema toponimu
Žukno,smišljeno prema toponimu
Ponor Matice glavni,smišljeno prema toponimu
Vranjača kod Trilja,preuzeto kao lokalni naziv
Špilja krepanog jazavca,smišljeno novo
Vrulje,smišljeno prema toponimu
Jama za paljenje smeća u Vukičevićima,smišljeno prema toponimu
"Jama kod Lukine jame br. 19, Leb i sol",smišljeno novo
Habitat,smišljeno novo
Ravninska,smišljeno prema toponimu
Djetlić,smišljeno novo
Girina matura,smišljeno novo
Jama puža prevjesara,smišljeno novo
Kozlina,smišljeno prema toponimu
Oro muškarci,smišljeno novo
Jama kod okretaljke u Smojverskim dulibama,smišljeno prema toponimu
G23,smišljeno novo
G6,smišljeno novo
Cimerjanka,smišljeno prema toponimu
Jama u Kršovači,smišljeno prema toponimu
Crvenkuša-Tamnica-Suhi Rumin,preuzeto iz literature
Lovricija II,smišljeno novo
Gršina jama,smišljeno novo
Jama kod Bajkovite,smišljeno novo
Pećina u Crljenici,preuzeto iz literature
Jama kriva kapa,smišljeno novo
Dekleova pećina,preuzeto kao lokalni naziv
Jama kod Lukine jame br. 11b,smišljeno novo
Jama na Ikavskom grebenu,smišljeno prema toponimu
Oštrinova jama,preuzeto kao lokalni naziv
Apartman,smišljeno novo
Jama Bijela,smišljeno novo
Špiljski sustav Miljacka I - Miljacka V,preuzeto iz literature
Svijećnica 2,smišljeno novo
Ivani protiv medvjeda iliti treba mina,smišljeno novo
Kaverna na D-1 u Kravjoj drazi,smišljeno prema toponimu
Mekinjača,preuzeto kao lokalni naziv
Turnirska jama,smišljeno novo
Špilja pod Žuževačkom kosom,smišljeno prema toponimu
Slavuja,preuzeto kao lokalni naziv
Japaga,smišljeno novo
Rafaelo,smišljeno novo
Crvene škrape,smišljeno novo
Poljanak jazbina,smišljeno prema toponimu
Jama u Radovnici,smišljeno prema toponimu
Samina oproštajna,smišljeno novo
Brinski dimnjak,smišljeno prema toponimu
Mala Kaočinka,smišljeno novo
Jama u Špejarovim lugovima 1,smišljeno prema toponimu
Magareća jama,smišljeno novo
Jamica na Tuku,smišljeno prema toponimu
Babinjak,smišljeno novo
Pećina nad Lavret,smišljeno prema toponimu
Pećina Nikole Vranjina,preuzeto kao lokalni naziv
Kaverna 180_Tunel Konavosko polje- more,smišljeno novo
Jama nad Tajnu pećinu,preuzeto kao lokalni naziv
Mala Mladoševica,preuzeto kao lokalni naziv
Polušpilja pod izvorom Bijele vode,smišljeno prema toponimu
Jama kod Bodaja,smišljeno prema toponimu
Rešetke,preuzeto kao lokalni naziv
Šeraja,preuzeto kao lokalni naziv
Račva,smišljeno novo
Dvostruke jame,smišljeno novo
Znetva na Zminjaku,preuzeto kao lokalni naziv
"7 ledena, 8 medena",smišljeno novo
Moria,smišljeno novo
Ciganuša iznad Tudereva,smišljeno prema toponimu
Jama golih smreka,smišljeno novo
Fortventi,smišljeno novo
Konjevića špilja,preuzeto kao lokalni naziv
Angst Höhle,smišljeno novo
Jama Stonehenge,smišljeno novo
Jasenova glavica,preuzeto kao lokalni naziv
Krepova jama,smišljeno novo
Cvjetne gaćice,smišljeno novo
Mekotica na Steni,smišljeno novo
Pećina Nera,smišljeno novo
Jama s mostom,smišljeno novo
Morska špilja na rtu Mede,smišljeno prema toponimu
Jelenkov raj,smišljeno novo
Jama pod Čorkovcem,smišljeno prema toponimu
Jama na Rijavcu,smišljeno prema toponimu
Jama s magarećom glavom,smišljeno novo
Carevica,preuzeto kao lokalni naziv
Oklen I,smišljeno prema toponimu
Jama Ljepotica i Zvijer,smišljeno novo
Travnička jama,smišljeno prema toponimu
Ossina jama,smišljeno novo
Orahova,smišljeno novo
Manastiri II,smišljeno prema toponimu
Jama dva šanta,smišljeno novo
Jama kraj Njivarskog bunara,preuzeto kao lokalni naziv
Špilja kod doca Kraorac,smišljeno prema toponimu
Cuculucu,smišljeno novo
ZV-1,smišljeno novo
Kosturnica,smišljeno novo
Motivirajuča jama,smišljeno novo
Miljacka 6,smišljeno prema toponimu
Golubnjača,preuzeto kao lokalni naziv
Sjevernjača,smišljeno novo
Špilja pod Stogajem,smišljeno prema toponimu
Pećina iznad Vele vale,smišljeno prema toponimu
Diva,smišljeno novo
Špilja u uvali Brestova,smišljeno prema toponimu
Pećina 2 u Štroligovom dolu,preuzeto kao lokalni naziv
ZV-2,smišljeno novo
Ruski rulet,smišljeno novo
Onofrijeva jama u Malom jezeru,preuzeto kao lokalni naziv
Pećina u Pucići,smišljeno prema toponimu
Špilja kod Stare Sušice,smišljeno prema toponimu
Jama pod Plećom,preuzeto kao lokalni naziv
Pražina pećina,preuzeto kao lokalni naziv
Jama na Dugom bregu obr Gabrovice,smišljeno prema toponimu
Novi čvor,smišljeno novo
Gizmotova,smišljeno novo
Pećina u Betkovici,smišljeno prema toponimu
Jama na Bojušini 2,smišljeno prema toponimu
Zubata,smišljeno novo
Poležečki,smišljeno novo
Špilja u Radovnici,smišljeno prema toponimu
Sojkina jama,smišljeno novo
Oblaka,preuzeto kao lokalni naziv
Spilja od Tankega rota,preuzeto kao lokalni naziv
Macinka,preuzeto kao lokalni naziv
Svilenka,smišljeno novo
Drugi harmonik,smišljeno novo
Nepristupačna,smišljeno novo
Drvena jama,smišljeno novo
Kozja špilja,preuzeto kao lokalni naziv
Hladna jama,smišljeno novo
Špilja kod špilje kod Jaruge,smišljeno novo
Ljubavna jama,smišljeno novo
Špilja u Gvozdacu,preuzeto kao lokalni naziv
Jelovec,preuzeto kao lokalni naziv
Desanka,smišljeno novo
Trdačina,preuzeto kao lokalni naziv
Plavšića špilj II,smišljeno prema toponimu
Bobaj II,smišljeno prema toponimu
Golubinka pod Velikim vrhom Boraje,smišljeno prema toponimu
Druga špilja u mojoj dulibi,smišljeno novo
Izlazak,smišljeno novo
Ratac,smišljeno prema toponimu
Brokeback,smišljeno novo
Madrac jama,smišljeno novo
Jama u Donjoj Dubravi,smišljeno prema toponimu
Lovačka priča,smišljeno novo
Japagina 5,smišljeno prema toponimu
Detljić,smišljeno novo
Grobnica,preuzeto kao lokalni naziv
Potpećina 2,nepoznato podrijetlo
Košnica,smišljeno novo
Jama kod Kolavići 2,preuzeto iz literature
Cik-cak,smišljeno novo
Četiri babe (i pol) i kilavo dijete,smišljeno novo
Špilja Zoljin kuk,smišljeno prema toponimu
Dubočica,preuzeto kao lokalni naziv
Pukotina špilja,smišljeno novo
Jama na Ledini,preuzeto kao lokalni naziv
Jama u Gomilicama,smišljeno prema toponimu
Špilja ispod Tavice,smišljeno novo
Cukovčica,smišljeno prema toponimu
Špilja kod Pekića,smišljeno prema toponimu
Špiljamica,smišljeno novo
Pijekavica,preuzeto kao lokalni naziv
Džalina pećina,preuzeto sa karte
Crnogorski svinjac - istočni,smišljeno novo
Špilja u potoku,smišljeno novo
Podrebar 1,smišljeno prema toponimu
Špilja pod slojevima,smišljeno novo
Jama kod Tučepske vilenjače,smišljeno novo
Abisso di Portole,preuzeto kao lokalni naziv
Podzidana jazbina,smišljeno novo
Maglovova pećina,preuzeto kao lokalni naziv
Matića jama,preuzeto kao lokalni naziv
Špilja do autoputa,smišljeno novo
Jama u Medinim dragama,smišljeno prema toponimu
Šobatovićeva jama,smišljeno prema toponimu
Ponor Ićo,smišljeno novo
LV2 špilja,smišljeno prema toponimu
Velika pećina u Kličevici,preuzeto kao lokalni naziv
Plavšića pećina,preuzeto kao lokalni naziv
Smokvica,smišljeno novo
Gravitačna,preuzeto iz literature
Jama kod Škrginaca,smišljeno prema toponimu
Velika i Mala Golubinka,preuzeto kao lokalni naziv
Čoki proki,smišljeno novo
